,time,n1,n1_bkg,n2,n2_bkg,n9,n9_bkg,na,na_bkg,b0,b0_bkg,b1,b1_bkg
90,60.0,1259.749013062875,1238.0992574603915,1249.5136323341237,1238.6967215590219,1165.9825834484611,1151.474923868452,1136.0286523872644,1118.755961983446,2912.2540081229145,2897.6973921835397,2999.677886938315,3050.3340777169774
91,61.0,1270.7589048405182,1238.0992574603915,1290.7250324436325,1238.6967215590232,1161.9723252078818,1151.4749238684522,1127.9439336668706,1118.7559619834453,2922.305320527786,2897.697392183539,2908.7439459879465,3050.334077716983
92,62.0,1247.5730492129458,1238.0992574603902,1179.1412322426945,1238.6967215590244,1188.1390634055174,1151.4749238684508,1121.9327321618712,1118.7559619834446,2931.1791732323873,2897.6973921835406,2973.2308571842677,3050.3340777169747
93,63.0,1255.6967712946914,1238.0992574603915,1272.7290962520185,1238.6967215590214,1149.904659169061,1151.4749238684515,1140.9893922075837,1118.7559619834453,2821.8464231461826,2897.697392183541,2912.53537512731,3050.334077716983
94,64.0,1184.3279615720173,1238.099257460391,1261.5778347393207,1238.6967215590219,1205.1671793473247,1151.4749238684515,1132.008879601982,1118.7559619834453,2883.5666882649098,2897.697392183541,3020.07747505416,3050.334077716983
95,65.0,1196.1794449647164,1238.0992574603906,1217.3159686987353,1238.6967215590244,1110.7368556122285,1151.4749238684508,1098.76008533436,1118.755961983445,2784.528963929888,2897.6973921835406,2933.959244638856,3050.3340777169747
96,66.0,1266.777530596238,1238.099257460391,1203.2535977282573,1238.6967215590237,1096.6099316372968,1151.4749238684524,1094.8290382347986,1118.755961983445,2856.246013429085,2897.697392183539,2953.9703978952834,3050.334077716982
97,67.0,1228.6195130855501,1238.099257460392,1263.7406723902752,1238.6967215590219,1204.3166881591906,1151.4749238684512,1153.1781590062212,1118.7559619834462,2821.9372674794113,2897.6973921835415,3041.322114368208,3050.3340777169783
98,68.0,1280.8656525393637,1238.0992574603902,1232.5126610840896,1238.6967215590232,1127.8625150632306,1151.474923868451,1147.0557565354104,1118.755961983445,2907.9478541558497,2897.6973921835365,3002.5949345428266,3050.3340777169797
99,69.0,1202.4027999237844,1238.099257460392,1238.5049690624467,1238.6967215590244,1187.105467904037,1151.4749238684506,1139.1348992427158,1118.755961983446,2768.1883655618053,2897.697392183542,3013.369941987093,3050.3340777169774
100,70.0,1315.0688229381708,1238.0992574603897,1289.864433843796,1238.696721559021,1128.8492154197193,1151.4749238684517,1134.914460334138,1118.7559619834456,2774.6143909731472,2897.6973921835415,3027.9115463286576,3050.3340777169833
101,71.0,1274.8628343881962,1238.099257460391,1245.5123448123709,1238.6967215590223,1153.0301632690712,1151.4749238684522,1078.735673668423,1118.7559619834456,2845.024627370183,2897.6973921835393,2927.5784126064,3050.334077716972
102,72.0,1267.7627197522245,1238.0992574603906,1261.6081994504282,1238.6967215590234,1112.6837933094623,1151.4749238684503,1122.9195909364348,1118.7559619834449,2819.1517190587533,2897.6973921835433,3002.885105166412,3050.334077716981
103,73.0,1249.7542618024545,1238.0992574603915,1324.088786171698,1238.6967215590228,1138.8425510073143,1151.4749238684517,1130.976730755348,1118.7559619834462,2968.8462359055284,2897.69739218354,3039.100611444091,3050.3340777169788
104,74.0,1215.4713862792134,1238.0992574603915,1255.5557338382298,1238.6967215590232,1158.0085060988447,1151.4749238684517,1173.2334313367642,1118.7559619834444,2865.6524189004267,2897.697392183536,2977.208952159332,3050.3340777169815
105,75.0,1244.5669288179924,1238.0992574603897,1232.4533342425475,1238.6967215590232,1127.8082425238845,1151.4749238684506,1129.1027744241173,1118.7559619834458,2968.6789278138044,2897.6973921835415,2984.584845757863,3050.3340777169783
106,76.0,1247.7332177876206,1238.099257460392,1266.6250809817698,1238.6967215590223,1125.8258228152663,1151.474923868453,1101.7565950006917,1118.7559619834462,2856.246013429085,2897.69739218354,3075.860485814796,3050.334077716979
107,77.0,1181.2934461278044,1238.099257460391,1226.3331735657516,1238.6967215590232,1229.417781432382,1151.4749238684512,1092.6617239595655,1118.7559619834444,2874.644568360597,2897.697392183539,3027.28889014173,3050.3340777169765
108,78.0,1229.63480047019,1238.0992574603915,1171.148045947507,1238.6967215590232,1123.753195328555,1151.4749238684512,1135.0054945495672,1118.7559619834456,2927.3898631201205,2897.697392183542,2997.4595071202248,3050.334077716979
109,79.0,1237.5890081235584,1238.0992574603902,1259.7186895716154,1238.6967215590223,1174.1631956490785,1151.474923868451,1084.7639786175175,1118.7559619834456,2879.6812428309822,2897.6973921835383,3023.383652585733,3050.3340777169797
110,80.0,1209.4299433192534,1238.0992574603924,1254.4698636428361,1238.6967215590223,1172.1060811149546,1151.4749238684499,1129.8902592832465,1118.7559619834449,2899.828143425782,2897.697392183541,3011.8056338481856,3050.33407771698
111,81.0,1264.7563262890785,1238.0992574603906,1242.5362581908112,1238.6967215590228,1201.118102594335,1151.4749238684522,1084.7030800755483,1118.7559619834458,2820.9255533199193,2897.6973921835397,3064.6434381997133,3050.3340777169738
112,82.0,1233.6070670640954,1238.0992574603915,1249.5437059500744,1238.6967215590241,1171.1574404594787,1151.4749238684512,1137.0062445104857,1118.7559619834446,2936.3581109094057,2897.697392183539,3073.4631174358883,3050.3340777169833
