,time,n6,n6_bkg,n9,n9_bkg,b1,b1_bkg
302,0.2,1444.275054160294,1000.5383262039713,1575.7040486561127,1198.623260314148,2312.8594988133696,1573.3075528647028
303,0.3,1545.005818853062,1000.5383262039713,1706.0736220946326,1198.623260314148,2728.27947246548,1573.3075528647025
304,0.4,1525.4917703733222,1000.538326203971,1685.9344894026735,1198.623260314148,2292.6554581288387,1573.3075528647025
305,0.5,1273.4382833650677,1000.5383262039713,1243.3819990373638,1198.6232603141477,1828.5576498010428,1573.3075528647025
306,0.6,1002.0843354176545,1000.5383262039713,1313.5465757545187,1198.623260314148,1475.9925296704412,1573.307552864703
307,0.7,921.9175885842421,1000.538326203971,1444.275054160294,1198.623260314148,1697.0938523026007,1573.307552864702
308,0.8,1163.070506136183,1000.5383262039716,1263.5885916001264,1198.6232603141477,1777.5724586739257,1573.3075528647028
309,0.9,1082.5982357658227,1000.538326203971,1233.428932432144,1198.6232603141477,1536.0520450575048,1573.3075528647025
310,1.0,1263.4872247402652,1000.5383262039717,1363.8186923385285,1198.6232603141477,1596.0970908871661,1573.307552864703
311,1.1,1092.8194742435328,1000.5383262039711,1162.790697674402,1198.6232603141473,1727.8791288274285,1573.307552864702
312,1.2,1122.784505573807,1000.5383262039716,1142.9717264888548,1198.623260314148,1727.7402764384196,1573.3075528647028
313,1.3,1072.2947106808417,1000.5383262039709,1132.5595846613185,1198.6232603141475,1434.907383250697,1573.3075528647028
314,1.4,1022.1669940273234,1000.5383262039713,1203.1763856581204,1198.6232603141477,1637.302368563771,1573.3075528647025
315,1.5,911.8784696474607,1000.538326203971,1183.170898006641,1198.6232603141473,1657.8582480959512,1573.307552864702
316,1.6,1102.513731307365,1000.5383262039717,1343.8164386858489,1198.6232603141475,1515.7903190186296,1573.3075528647028
317,1.7,971.8854577880951,1000.5383262039709,1313.5465757545187,1198.6232603141468,1657.1922142096464,1573.3075528647028
318,1.8,1364.2564802182617,1000.5383262039715,1222.9840811580082,1198.6232603141477,1506.3265716007015,1573.3075528647028
319,1.9,1002.2450288646426,1000.538326203971,1283.4910957805046,1198.6232603141475,1667.40327052109,1573.3075528647028
320,2.0,1203.1763856581204,1000.5383262039715,1293.751880453296,1198.6232603141473,1759.6782302664403,1573.307552864703
321,2.1,1152.7435296004326,1000.5383262039709,1082.5982357658227,1198.6232603141468,1799.3204800868243,1573.3075528647025
322,2.2,1052.4627628650894,1000.5383262039709,1293.3368089671167,1198.623260314148,1717.936868331668,1573.307552864703
323,2.3,881.6928502725107,1000.5383262039716,961.9238476953772,1198.623260314147,1505.3590783187935,1573.307552864703
324,2.4,1153.0209147967512,1000.5383262039705,1354.089349836487,1198.623260314148,1557.069093685309,1573.307552864703
325,2.5,941.9215199005838,1000.5383262039715,1454.6840827464227,1198.6232603141475,1315.0233893472878,1573.3075528647025
326,2.6,1293.5443114132538,1000.5383262039713,1474.5711706289287,1198.6232603141464,1565.6362906463044,1573.3075528647037
327,2.7,1052.294000921995,1000.5383262039719,1132.7412337857454,1198.6232603141477,1616.758048643306,1573.3075528647025
328,2.8,1233.3299909756167,1000.5383262039711,1474.6895126502068,1198.6232603141475,1526.7175572518865,1573.3075528647028
329,2.9,1012.2066104106808,1000.5383262039713,1022.3309144850114,1198.623260314147,1818.0357178729726,1573.3075528647037
330,3.0,1062.5927262520397,1000.5383262039715,1012.1254634732795,1198.623260314147,1556.568719998371,1573.3075528647018
331,3.1,941.997033711455,1000.538326203972,1223.0821670609764,1198.6232603141475,1475.1630707475956,1573.3075528647032
332,3.2,841.481006571554,1000.5383262039716,1122.5144323283996,1198.623260314147,1485.9437751003804,1573.307552864703
333,3.3,1042.3348300192283,1000.5383262039717,1343.8164386858489,1198.6232603141466,1487.1382636655735,1573.3075528647025
334,3.4,1102.513731307365,1000.5383262039708,1303.597930287575,1198.6232603141475,1456.2034265972836,1573.307552864702
335,3.5,992.1231435271341,1000.5383262039715,1213.0325814536168,1198.6232603141464,1556.1936507298828,1573.3075528647032
336,3.6,932.0318293880526,1000.5383262039717,1152.7435296004326,1198.6232603141473,1455.618688136185,1573.307552864704
337,3.7,1052.6315789473533,1000.5383262039713,1012.2877703610015,1198.6232603141477,1515.3035624686186,1573.3075528647018
338,3.8,1142.6967643638825,1000.5383262039715,1213.0325814536168,1198.6232603141473,1496.1341500150404,1573.307552864703
339,3.9,911.7322913535588,1000.5383262039704,1283.5940633774387,1198.6232603141466,1728.0180035363844,1573.307552864702
340,4.0,922.139363322896,1000.5383262039717,831.513354304823,1198.6232603141475,1596.9948373877355,1573.3075528647025
341,4.1,891.6584847816813,1000.5383262039717,1092.6441989614714,1198.6232603141464,1606.425702811222,1573.3075528647037
342,4.2,901.9120535535206,1000.5383262039703,1052.2096402444986,1198.6232603141475,1566.5167095115457,1573.307552864702
343,4.3,1143.0634099386193,1000.5383262039717,1333.9752462337576,1198.623260314147,1617.1477932461248,1573.3075528647041
344,4.4,1082.424631173814,1000.5383262039709,1092.6441989614714,1198.6232603141477,1404.832624227322,1573.3075528647025
345,4.5,1112.558885436488,1000.538326203972,1152.835976502179,1198.6232603141466,1747.7600546425883,1573.3075528647028
346,4.6,1062.5927262520397,1000.5383262039713,1213.227184310248,1198.6232603141468,1425.645556403337,1573.3075528647025
347,4.7,821.6762194877433,1000.5383262039717,1202.983398829079,1198.623260314147,1355.1767752815563,1573.3075528647037
348,4.8,982.2395060738345,1000.5383262039711,1122.5144323283996,1198.6232603141477,1687.5602700096192,1573.3075528647037
349,4.9,851.6522052782277,1000.5383262039711,1183.075997593727,1198.623260314147,1455.5017967918525,1573.3075528647016
350,5.0,1042.2512627274764,1000.5383262039709,972.0412867020606,1198.6232603141457,1737.1222010241743,1573.307552864704
351,5.1,1092.8194742435328,1000.5383262039721,1183.075997593727,1198.6232603141475,1576.7168136260243,1573.307552864703
352,5.2,811.4443709803335,1000.5383262039715,1243.4817488968936,1198.623260314147,1606.8128866393279,1573.3075528647053
353,5.3,1022.3309144850114,1000.5383262039705,1162.790697674402,1198.6232603141477,1586.7914674807953,1573.307552864702
354,5.4,1002.2450288646426,1000.5383262039711,1223.0821670609764,1198.6232603141477,1404.832624227322,1573.307552864702
355,5.5,962.0009620009483,1000.5383262039717,1243.2822651800577,1198.6232603141464,1515.9120570223656,1573.307552864702
356,5.6,851.7887563884036,1000.5383262039715,1092.4689798945462,1198.6232603141475,1718.0749522756712,1573.3075528647041
357,5.7,1163.1638055510823,1000.5383262039715,1162.6974581027819,1198.623260314147,1365.1328997028634,1573.3075528647043
358,5.8,1022.4128944308422,1000.5383262039694,1182.9811124032394,1198.6232603141466,1577.2236844748725,1573.3075528647018
359,5.9,931.9571099308415,1000.5383262039722,1112.4696826955683,1198.623260314148,1677.346778891521,1573.307552864702
360,6.0,1032.4572482508222,1000.5383262039719,1112.6481024838959,1198.6232603141464,1556.8188666358428,1573.3075528647037
361,6.1,1173.2146080259745,1000.5383262039709,1072.4666733486868,1198.6232603141482,1445.7831325301,1573.3075528647037
362,6.2,891.6584847816813,1000.5383262039715,1193.030296954247,1198.6232603141468,1355.067954148496,1573.3075528647028
363,6.3,931.8824024529416,1000.5383262039709,1132.7412337857454,1198.6232603141468,1788.5133234194514,1573.3075528647037
364,6.4,1092.381391433309,1000.5383262039715,1132.6504019405247,1198.623260314146,1466.275659824026,1573.3075528647037
365,6.5,951.8847317688889,1000.5383262039715,1072.6386911802883,1198.6232603141477,1324.7691690084114,1573.3075528647018
366,6.6,1132.6504019405247,1000.5383262039728,951.8084360284405,1198.623260314147,1455.3849242195918,1573.3075528647062
367,6.7,921.9915016435369,1000.5383262039705,1132.6504019405247,1198.6232603141475,1485.4665167817357,1573.3075528647025
368,6.8,1223.3765191929551,1000.5383262039703,1203.1763856581204,1198.6232603141455,1626.8326973287578,1573.307552864703
369,6.9,1102.602141052869,1000.5383262039717,1042.2512627274764,1198.623260314148,1646.5863453815025,1573.307552864704
370,7.0,1022.3309144850114,1000.5383262039709,1182.791387674896,1198.6232603141464,1496.254343154364,1573.3075528647041
371,7.1,972.1192198993667,1000.5383262039703,1152.7435296004326,1198.623260314148,1415.236374585948,1573.307552864702
372,7.2,1142.788403705024,1000.538326203972,1253.4344102841608,1198.6232603141477,1385.375255993234,1573.3075528647037
373,7.3,1002.0843354176545,1000.5383262039694,1022.1669940273234,1198.6232603141464,1526.4722423073615,1573.3075528647043
374,7.4,1002.2450288646426,1000.5383262039732,1002.0040080160179,1198.6232603141482,1597.3798951154106,1573.307552864701
375,7.5,871.8657927965724,1000.5383262039711,1303.597930287575,1198.623260314146,1395.218115752896,1573.3075528647055
376,7.6,791.5038573289137,1000.5383262039703,1062.6779484300287,1198.623260314147,1869.6473804832672,1573.3075528647048
