,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
426,-8.7,1283.6970474967725,888.6163038421765,1203.465982028224,1318.6222873276297,1063.2748866508696,709.4050806130882,3444.6637927560846,3266.074130158854
427,-8.65,1163.4437936291258,892.5371529995296,1303.807116780982,1319.0175771466984,1082.8587470923082,712.4838466852191,3202.4169184289576,3266.074130158851
428,-8.6,1565.384924139016,896.4452216143811,1203.852327447816,1319.4128669657666,1123.0547088079416,715.5527867418451,3201.9010028595135,3266.0741301588373
429,-8.55,1404.3816708129164,900.3405096867294,1263.9942217406826,1319.8081567848349,721.5007215007113,718.6119007829682,3101.087394281067,3266.0741301588555
430,-8.5,1203.0798845043141,904.223017216572,1324.131289623607,1320.2034466039097,1123.0547088079416,721.6611888085949,3141.1082474226355,3266.0741301588564
431,-8.45,1363.9281129653207,908.0927442039196,1686.2052352657538,1320.5987364229713,902.2013713460716,724.7006508187176,3505.520186961027,3266.0741301588428
432,-8.4,1142.9717264888548,911.9496906487581,1062.5927262520397,1320.9940262420496,942.2236478088154,727.7302868133393,3221.6494845360367,3266.0741301588473
433,-8.35,1162.883952201443,915.7938565511021,1243.2822651800577,1321.3893160611146,1243.8809084342975,730.7500967924599,3181.6351188078484,3266.0741301588496
434,-8.3,1203.0798845043141,919.6252419109348,1122.8745588706931,1321.78460588019,802.3106546854827,733.7600807560871,3121.350034234117,3266.07413015886
435,-8.25,1323.9187996469361,923.4438467282706,1444.622792937379,1322.1798956992504,1183.170898006641,736.7602387042003,3121.350034234117,3266.0741301588373
436,-8.2,1283.6970474967725,927.2496710031044,1243.4817488968936,1322.5751855183255,701.543395470024,739.7505706368265,3161.370867061289,3266.0741301588555
437,-8.15,1525.1244180446083,931.0427147354329,1284.5215157353703,1322.970475337393,962.3095429029535,742.7310765539432,3344.346845031784,3266.0741301588464
438,-8.1,1062.4223228961882,934.8229779252644,1243.2822651800577,1323.3657651564645,1122.6944667201124,745.701756455563,2959.2946007971555,3266.0741301588564
439,-8.05,1444.8547118317342,938.5904605725887,921.8436873747364,1323.7610549755366,901.7674642298778,748.6626103416801,3059.5813204508418,3266.0741301588405
440,-8.0,1444.1591784338689,942.3451626774076,1646.45410007226,1324.156344794598,1123.0547088079416,751.6136382122965,3364.0868619313806,3266.0741301588646
441,-7.95,1303.807116780982,946.0870842397314,1424.7301039450774,1324.5516346136772,1204.2389210019096,754.5548400674135,3141.1082474226355,3266.074130158838
442,-7.9,1343.8164386858489,949.816225259553,1605.1364365970878,1324.9469244327422,1243.8809084342975,757.4862159070301,3284.0391667001986,3266.0741301588578
443,-7.85,1263.1832217187132,953.5325857368687,1444.8547118317342,1325.3422142518093,862.0344011867886,760.4077657311426,3547.2428248951446,3266.074130158845
444,-7.8,1263.1832217187132,957.2361656716814,1546.2468372223564,1325.7375040708841,1243.8809084342975,763.3194895397567,3344.346845031784,3266.074130158851
445,-7.75,1565.6362906463044,960.9269650639933,1183.170898006641,1326.13279388995,942.0725596311752,766.2213873328681,3508.3474473747383,3266.074130158844
446,-7.7,1504.5135406218442,964.604983913811,1143.1551080983352,1326.5280837090206,1123.2349165596759,769.1134591104817,2978.5863790049484,3266.0741301588578
447,-7.65,1383.8193413821953,968.2702222211084,1364.3659711075247,1326.92337352809,922.583233052534,771.9957048725921,3183.1735031025414,3266.074130158852
448,-7.6,1484.632052002226,971.9226799859227,1223.1802686985989,1327.3186633471596,1062.9336970037152,774.8681246192036,3363.002940110307,3266.0741301588496
449,-7.55,1323.7063778579836,975.5623572082229,1404.1563026558415,1327.7139531662276,1263.5885916001264,777.7307183503128,3102.086858431992,3266.0741301588428
450,-7.5,1384.2635316775472,979.1892538880217,1122.8745588706931,1328.1092429853022,1002.4861656908992,780.583486065922,2817.1281390856,3266.0741301588578
451,-7.45,1304.0163704208778,982.8033700253244,1485.1087741831689,1328.5045328043677,1082.8587470923082,783.4264277660346,3263.2342277011862,3266.074130158842
452,-7.4,1082.685058946171,986.4047056201177,1625.5267910896819,1328.899822623437,1083.032490974714,786.2595434506391,3528.083545018296,3266.074130158852
453,-7.35,1283.4910957805046,989.9932606724155,1263.9942217406826,1329.2951124425051,922.4352290045589,789.0828331197444,3142.120528520741,3266.0741301588473
454,-7.3,1183.5506519558508,993.5690351822033,1062.7631842791106,1329.6904022615802,1143.1551080983352,791.8962967733496,3081.322753453857,3266.0741301588587
455,-7.25,1263.3858741426845,997.1320291494986,1546.2468372223564,1330.0856920806489,982.2395060738345,794.6999344114578,3487.4813530620795,3266.074130158842
456,-7.2,1202.8869286286917,1000.6822425742834,1223.5728326713831,1330.4809818997176,1042.83651532166,797.4937460340611,3649.9294212542327,3266.074130158854
457,-7.15,1323.7063778579836,1004.2196754565699,1605.6518946692129,1330.8762717187851,801.9246190857946,800.2777316411658,3099.5894050398074,3266.0741301588473
458,-7.1,1384.4857337774192,1007.7443277963526,1303.597930287575,1331.2715615378563,1022.5768937722917,803.0518912327689,3364.0868619313806,3266.074130158855
459,-7.05,1404.3816708129164,1011.2561995936364,1424.2728184553457,1331.6668513569246,942.2236478088154,805.8162248088721,2878.3060263274015,3266.074130158851
460,-7.0,1626.3100831224922,1014.755290848412,1142.6051397185422,1332.0621411759946,962.0009620009483,808.5707323694714,2959.2946007971555,3266.0741301588405
461,-6.95,1424.2728184553457,1018.24160156069,1263.9942217406826,1332.4574309950672,822.0056938930874,811.3154139145714,2957.865507666262,3266.074130158851
462,-6.9,1162.883952201443,1021.7151317304648,1324.3438478208334,1332.8527208141388,882.117080994374,814.0502694441724,3243.4828155847877,3266.0741301588537
463,-6.85,1122.8745588706931,1025.1758813577385,1243.8809084342975,1333.2480106331998,1284.5215157353703,816.7752989582737,3262.182843334629,3266.0741301588496
464,-6.8,1404.832624227322,1028.6238504425062,1243.4817488968936,1333.6433004522744,1163.4437936291258,819.4905024568684,3100.0885739592113,3266.074130158851
465,-6.75,1203.465982028224,1032.0590389847762,1284.1091492776702,1334.038590271343,822.137557649878,822.1958799399711,3668.467306296811,3266.074130158853
466,-6.7,1042.502004811533,1035.4814469845355,1223.3765191929551,1334.433880090414,1002.6469880484336,824.891431407564,2756.872056988732,3266.0741301588446
467,-6.65,1102.7790030877654,1038.891074441806,1686.4760681014857,1334.8291699094807,982.7122859090952,827.5771568596621,3546.099290780091,3266.074130158854
468,-6.6,1202.8869286286917,1042.2879213565657,1464.2756850001797,1335.2244597285562,962.4639076034512,830.2530562962536,3120.3446470990416,3266.074130158845
